collection,date_text,date_qualifier,date_single,date_range_end,extent_physical,form,form_authority,form_URI,identifier,language,name 1,name_authority 1,name_authority_URI 1,name_role 1,name_role_authority 1,name_role_URI 1,name 2,name_authority 2,name_role 2,name_role_authority 2,name_role_URI 2,place_of_origin 1,place_of_origin_URI 1,place_of_origin 2,place_of_origin_URI 2,project_title,note,note 2,record_source,repository,rights,collection_identifier,subject_geographic,subject_geographic_authority,subject_geographic_URI,subject_geographic_coordinates,subject_name 1,subject_name_authority 1,subject_name_URI 1,subject_name 2,subject_name_authority 2,subject_name_URI 2,subject_name 3,subject_name_authority 3,subject_name_URI 3,subject_topical 1,subject_topical_authority 1,subject_topical_URI 1,subject_topical 2,title_initial_article,title_of_work
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1001,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Estes Kefauver and others present framed certificate
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1003,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Estes Kefauver and unidentified man sit and talk
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1005,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Presentation of an award to Estes Kefauver at the Roosevelt Hotel
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1011,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Estes Kefauver and unidentified woman
"Estes Kefauver Papers, 1925 - 1967",2/12/1953,,1953-02-12,,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1013,zxx,"Wilkinson, F. Clyde",,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,Tennessean,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,Estes Kefauver Image Collection,A 9-year-old Boy Scout pins an award on Senator Kefauver for in tribute for his work in combating juvenile delinquency.,,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Presentation of an award to Estes Kefauver from a Boy Scout
"Estes Kefauver Papers, 1925 - 1967",6/15/1951,,1951-06-15,,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1041,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,"Kappa Sig ? June 15,1951",,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Photograph of Estes Kefauver
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1051,zxx,"Wilkinson, F. Clyde",,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Estes Kefauver is presented certificate making him honorary Kentucky colonel
"Estes Kefauver Papers, 1925 - 1967",1/7/1953,,1953-01-07,,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1061,zxx,United States. Army,naf,http://id.loc.gov/authorities/names/n79063202,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,"SC 413572 Washington, D.C. After a ceremony at the Pentagon today, at which time Secretary of the Army Frank Pace, Jr. awarded the Medal of Honor to the next of kin of four U.S. Army soldiers who gave their lives in the Korean conflict, Senators and Representatives met with the recipients from their states. From left to right, Senator Estes Kefauver and Representative J. Percy Priest examine the medal held by Mr. Benjamine F. Lyell, 333 Rayon Dr., Old Hickory, Tenn. As Mr.William Allen representing Senator Albert Gore looks on. Mr.Lyell received the medal on behalf of his son.",,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",Public domain.,MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,"Gore, Albert, 1907-1998",naf,http://id.loc.gov/authorities/names/n87944950,"Priest, James Percy, 1900-1956",naf,http://id.loc.gov/authorities/names/no2012099463,,,,,,Estes Kefauver and Rep. J.Percy Priest stand with Medal of Honor award winner as Albert Gore looks on
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1075,zxx,Illinois Central Railroad Company. Department of Agriculture,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Estes Kefauver presented and Award by unidentified man with a cow
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1077,zxx,Illinois Central Railroad Company. Department of Agriculture,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,,,,,,,,,,,,,,,Unidentified men standing with cows
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1079,zxx,Illinois Central Railroad Company. Department of Agriculture,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,,,,,,,,,,,,,,,Unidentified girl and calf
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1091,zxx,Illinois Central Railroad Company. Department of Agriculture,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,,,,,,,,,,,,,,,Unidentified girls and women with cows
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1093,zxx,Illinois Central Railroad Company. Department of Agriculture,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Estes Kefauver speaking outdoors
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1099,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,Kefauver at Kimberly's after funeral for EK's father,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Estes Kefauver with unidentified group at dinner table after funeral for his father
"Estes Kefauver Papers, 1925 - 1967",4/1/1954,,1954-04-01,,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1107,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,"Bristol Tennessee High Seniors April,1954",,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,Bristol (Tenn.),naf,http://id.loc.gov/authorities/names/n81124834,"36.59500N, 82.18861W","Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,"Estes Kefauver with two Bristol, Tennessee, High Seniors"
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1111,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Kefauver with unidentified man and airplane
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1115,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Kefauver with two unidentified men with airplane
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1119,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Kefauver speaking before group behind podium
"Estes Kefauver Papers, 1925 - 1967",10/1/1958,,1958-10-01,,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1127,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,Ripley (Tenn.),http://id.loc.gov/authorities/names/n83023394,,,Estes Kefauver Image Collection,,,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,Ripley (Tenn.),naf,http://id.loc.gov/authorities/names/n83023394,"35.74528N, 89.52972W","Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Senator Estes Kefauver and P.G. Durham Jr. in bank Atriple
"Estes Kefauver Papers, 1925 - 1967",10/1/1958,,1958-10-01,,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1131,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,Ripley (Tenn.),http://id.loc.gov/authorities/names/n83023394,,,Estes Kefauver Image Collection,,,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,Ripley (Tenn.),naf,http://id.loc.gov/authorities/names/n83023394,"35.74528N, 89.52972W","Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,"Estes Kefauver with County Judge J.R. Lewis , Lyle Durham"
"Estes Kefauver Papers, 1925 - 1967",10/1/1958,,1958-10-01,,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1133,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,Ripley (Tenn.),http://id.loc.gov/authorities/names/n83023394,,,Estes Kefauver Image Collection,,,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,Ripley (Tenn.),naf,http://id.loc.gov/authorities/names/n83023394,"35.74528N, 89.52972W","Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Estes Kefauver with Leonard Smith of Co-Op Loan Company in Ripley
"Estes Kefauver Papers, 1925 - 1967",10/1/1958,,1958-10-01,,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1137,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,Oak Ridge (Tenn.),http://id.loc.gov/authorities/names/n79100849,,,Estes Kefauver Image Collection,for Ms.Leach,,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,Oak Ridge (Tenn.),naf,http://id.loc.gov/authorities/names/n79100849,"36.01028N, 84.26972W","Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Estes Kefauver with unidentified man and two children at Stone Bridge Cerebral Palsy Clinic in Oak Ridge
"Estes Kefauver Papers, 1925 - 1967",10/1/1958,,1958-10-01,,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1139,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,Oak Ridge (Tenn.),http://id.loc.gov/authorities/names/n79100849,,,Estes Kefauver Image Collection,,,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,Oak Ridge (Tenn.),naf,http://id.loc.gov/authorities/names/n79100849,"36.01028N, 84.26972W","Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Estes Kefauver with unidentified woman and two children at Stone Bridge Cerebral Palsy Clinic in Oak Ridge
"Estes Kefauver Papers, 1925 - 1967",10/1/1958,,1958-10-01,,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1143,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,Oak Ridge (Tenn.),http://id.loc.gov/authorities/names/n79100849,,,Estes Kefauver Image Collection,,,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,Oak Ridge (Tenn.),naf,http://id.loc.gov/authorities/names/n79100849,"36.01028N, 84.26972W","Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,"Estes Kefauver with unidentified woman,man, and two children at Stone Bridge Cerebral Palsy Clinic in Oak Ridge"
