dc:identifier;dc:title;dc:date;dc:creator;dc:contributor;dc:description;dc:subject1;dc:subject2;dc:subject3;dc:coverage;dc:rights;dc:publisher;dc:source;dc:relation;dc:type;dc:format;dc:language
KDP_1001;Estes Kefauver and others present framed certificate;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1005;Presentation of an award to Estes Kefauver at the Roosevelt Hotel;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1011;Estes Kefauver and unidentified woman;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1013;Presentation of an award to Estes Kefauver from a Boy Scout;1953-02-12;The Tennessean/F. Clyde Wilkinson;;A 9-year-old Boy Scout pins an award on Senator Kefauver for in tribute for his work in combating juvenile delinquency.;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1041;Photograph of Estes Kefauver;1951-06-15;unknown;;Kappa Sig ? June 15,1951;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1051;Estes Kefauver is presented certificate making him honorary Kentucky colonel;unknown;F. Clyde Wilkinson;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1061;Estes Kefauver and Rep. J.Percy Priest stand with Medal of Honor award winner as Albert Gore looks on;1953-01-07;U.S. Army;;SC 413572 Washington, D.C. After a ceremony at the Pentagon today, at which time Secretary of the Army Frank Pace, Jr. awarded the Medal of Honor to the next of kin of four U.S. Army soldiers who gave their lives in the Korean conflict, Senators and Representatives met with the recipients from their states. From left to right, Senator Estes Kefauver and Representative J. Percy Priest examine the medal held by Mr. Benjamine F. Lyell,  333 Rayon Dr., Old Hickory, Tenn. As Mr.William Allen representing Senator Albert Gore looks on. Mr.Lyell received the medal on behalf of his son.;Kefauver, Estes, 1903-1963;Priest, James Percy, 1900-1956.;Gore, Albert, 1907-1998;;This item is in the public domain.;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1075;Estes Kefauver presented and Award by unidentified man with a cow;unknown;Illinois Central Railroad Department of Agriculture;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1077;Unidentified men standing with cows;unknown;Illinois Central Railroad Department of Agriculture;;;;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1079;Unidentified girl and calf;unknown;Illinois Central Railroad Department of Agriculture;;;;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1091;Unidentified girls and women with cows;unknown;Illinois Central Railroad Department of Agriculture;;;;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1093;Estes Kefauver speaking outdoors;unknown;Illinois Central Railroad Department of Agriculture;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1099;Estes Kefauver with unidentified group at dinner table after funeral for his father;unknown;unknown;;Kefauver at Kimberly's after funeral for EK's father;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1107;Estes Kefauver with two Bristol, Tennessee, High Seniors;1954-04;unknown;;Bristol Tennessee High Seniors April,1954;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1111;Kefauver with unidentified man and airplane;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1115;Kefauver with two unidentified men with airplane;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1119;Kefauver speaking before group behind podium;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1127;Senator Estes Kefauver and P.G. Durham Jr. in bank Atriple;1958-10;unknown;;;Kefauver, Estes, 1903-1963;;;Ripley (Tenn.);The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1131;Estes Kefauver with County Judge J.R. Lewis , Lyle Durham;1958-10;unknown;;;Kefauver, Estes, 1903-1963;;;Ripley (Tenn.);The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1133;Estes Kefauver with Leonard Smith of Co-Op Loan Company in Ripley;1958-10;unknown;;;Kefauver, Estes, 1903-1963;;;Ripley (Tenn.);The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1137;Estes Kefauver with unidentified man and two children at Stone Bridge Cerebral Palsy Clinic in Oak Ridge;1958-10;unknown;;for Ms.Leach;Kefauver, Estes, 1903-1963;;;Oak Ridge (Tenn.);The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1139;Estes Kefauver with unidentified woman and two children  at Stone Bridge Cerebral Palsy Clinic in Oak Ridge;1958-10;unknown;;;Kefauver, Estes, 1903-1963;;;Oak Ridge (Tenn.);The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1143;Estes Kefauver with unidentified woman,man, and two children  at Stone Bridge Cerebral Palsy Clinic in Oak Ridge;1958-10;unknown;;;Kefauver, Estes, 1903-1963;;;Oak Ridge (Tenn.);The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1147;Estes  Kefauver and unidentified woman share an apple;unknown;unknown;;Maigie;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1151;Estes Kefauver on plane from Bonn to Paris to NATO meeting with Sir Geoffrey de Freitas, Colonel Finn and Douglas Robinson;unknown;unknown;;United States Senate Memorandum-Pictures taken on plane from Bonn to Paris to NATO meeting. Geoffrey de Freitas,Colonel Finn, and Douglas Robinson;Kefauver, Estes, 1903-1963;De Freitas, Geoffrey, Sir, 1913-1982;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1185;Estes Kefauver with two unidentified men;unknown;Werner Ritter;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1187;Estes Kefauver with unidentified man and crowd;unknown;Werner Ritter;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1193;Estes Kefauver with service members;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1195;Estes Kefauver on boat with three unidentified men;unknown;unknown;;Bermuda;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1197;Estes Kefauver holding fish with two identified men;unknown;unknown;;Scene four friends gets around. He is also a friend to some of my relatives Joe,Ira,Kate Snow of Bristol Haw just return from visit with them;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1199;Estes Kefauver speaking from behind a podium;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1203;Crowd gathered around open door of plane;unknown;unknown;;;;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1205;Estes Kefauver with crowd;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
